time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 542, 3.132841, 0, 16, 1, 3, 5
1, 583, 2.881647, 0, 15, 1, 3, 4
2, 487, 3.611910, 0, 13, 1, 3, 5
3, 500, 3.536000, 0, 15, 1, 3, 5
4, 525, 3.321905, 0, 11, 1, 3, 5
5, 542, 3.162362, 0, 12, 2, 3, 4
6, 435, 4.128736, 0, 22, 2, 4, 6
7, 484, 3.623967, 0, 14, 2, 3, 5
8, 268, 6.865672, 0, 21, 3, 6, 9
9, 405, 4.437037, 0, 14, 2, 4, 6
10, 408, 4.392157, 0, 14, 1, 4, 6
11, 158, 12.018987, 1, 47, 5, 9, 17
12, 112, 15.196429, 2, 92, 8, 13, 21
13, 266, 6.748120, 0, 109, 1, 4, 7
14, 177, 11.491525, 1, 181, 4, 8, 15
15, 173, 10.843931, 0, 53, 3, 8, 16
16, 163, 11.803681, 0, 32, 5, 11, 17
17, 152, 12.276316, 1, 38, 4, 11, 17
18, 123, 15.634146, 2, 60, 9, 13, 21
19, 152, 12.513158, 0, 56, 5, 10, 17
20, 176, 10.465909, 0, 63, 4, 7, 15
21, 205, 9.282927, 0, 45, 3, 6, 14
22, 186, 10.215054, 0, 96, 3, 6, 14
23, 195, 9.548718, 0, 47, 4, 7, 14
24, 214, 8.612150, 0, 32, 3, 7, 12
25, 147, 13.170068, 0, 52, 4, 10, 19
26, 138, 14.028986, 2, 35, 8, 13, 19
27, 141, 13.716312, 1, 57, 5, 11, 19
28, 140, 13.464286, 2, 42, 5, 11, 18
29, 362, 5.060773, 0, 36, 2, 3, 6
30, 573, 2.965096, 0, 11, 1, 3, 4
31, 585, 2.856410, 0, 11, 2, 3, 4
32, 565, 3.001770, 0, 20, 1, 3, 4
33, 606, 2.749175, 0, 11, 1, 3, 4
34, 613, 2.701468, 0, 10, 1, 3, 4
35, 590, 2.864407, 0, 9, 1, 3, 4
36, 546, 3.130037, 0, 13, 2, 3, 5
37, 562, 3.017794, 0, 11, 1, 3, 4
38, 570, 2.952632, 0, 12, 1, 3, 4
39, 561, 3.010695, 0, 11, 1, 3, 4
40, 522, 3.331418, 0, 14, 2, 3, 5
41, 492, 3.567073, 0, 11, 2, 3, 5
42, 533, 3.227017, 0, 13, 1, 3, 5
43, 573, 2.931937, 0, 14, 1, 3, 4
44, 563, 3.005329, 0, 11, 1, 3, 4
45, 560, 3.033929, 0, 19, 1, 3, 4
46, 524, 3.301527, 0, 10, 1, 3, 5
47, 453, 3.913907, 0, 16, 2, 4, 6
48, 529, 3.255198, 0, 17, 1, 3, 5
49, 478, 3.669456, 0, 12, 2, 4, 5
50, 520, 3.323077, 0, 14, 1, 3, 5
51, 492, 3.571138, 0, 12, 2, 3, 5
52, 374, 4.839572, 0, 18, 2, 4, 7
53, 435, 4.098851, 0, 21, 1, 4, 6
54, 575, 2.966957, 0, 15, 1, 3, 4
55, 534, 3.207865, 0, 13, 2, 3, 5
56, 509, 3.404715, 0, 12, 2, 3, 5
57, 415, 4.298795, 0, 16, 2, 4, 6
58, 306, 5.957516, 0, 24, 2, 5, 8
59, 283, 6.572438, 0, 23, 3, 6, 9
